match_id,minute,gold_adv,xp_adv,duration_min,radiant_win
8780102418,16,2978,724,51.333333333333336,0
8780102418,17,3130,514,51.333333333333336,0
8780102418,18,4135,1304,51.333333333333336,0
8780102418,19,4649,2404,51.333333333333336,0
8780102418,20,5393,2998,51.333333333333336,0
8780102418,21,7561,7514,51.333333333333336,0
8780102418,22,5649,2666,51.333333333333336,0
8780102418,23,3820,-929,51.333333333333336,0
8780102418,24,3921,-870,51.333333333333336,0
8780102418,25,3321,297,51.333333333333336,0
8780102418,26,2240,-840,51.333333333333336,0
8780102418,27,591,-3208,51.333333333333336,0
8780102418,28,698,-2464,51.333333333333336,0
8780102418,29,-210,1683,51.333333333333336,0
8780102418,30,1536,5977,51.333333333333336,0
8780102418,31,3019,5224,51.333333333333336,0
8780102418,32,1810,1895,51.333333333333336,0
8780102418,33,719,-822,51.333333333333336,0
8780102418,34,224,2136,51.333333333333336,0
8780102418,35,-8,2246,51.333333333333336,0
8780102418,36,976,3594,51.333333333333336,0
8780102418,37,1126,2740,51.333333333333336,0
8780102418,38,1955,3091,51.333333333333336,0
8780102418,39,2204,3170,51.333333333333336,0
8780102418,40,2044,2685,51.333333333333336,0
8780102418,41,4483,3226,51.333333333333336,0
8780102418,42,5383,6530,51.333333333333336,0
8780102418,43,7488,11184,51.333333333333336,0
8780102418,44,7265,8641,51.333333333333336,0
8780102418,45,5511,4487,51.333333333333336,0
8780102418,46,5007,3683,51.333333333333336,0
8780102418,47,1380,-5780,51.333333333333336,0
8780102418,48,-4077,-13836,51.333333333333336,0
8780102418,49,-4056,-13699,51.333333333333336,0
8780102418,50,-7048,-25199,51.333333333333336,0
8780102418,51,-7385,-29945,51.333333333333336,0
8780102001,0,0,0,27.95,0
8780102001,1,61,10,27.95,0
8780102001,2,-106,-201,27.95,0
8780102001,3,100,-339,27.95,0
8780102001,4,317,-140,27.95,0
8780102001,5,238,-420,27.95,0
8780102001,6,172,-897,27.95,0
